season,League,Avg_Home_goals,Avg_Away_goals,Avg_Difference_Goals
2008/2009,"England Premier League",1.5936,1.1625,0.4311
2009/2010,"England Premier League",1.9437,1.1092,0.8345
2010/2011,"England Premier League",1.8178,1.1822,0.6357
2011/2012,"England Premier League",1.7700,1.2753,0.4948
2012/2013,"England Premier League",1.7647,1.3199,0.4449
2013/2014,"England Premier League",1.7152,1.2384,0.4768
2014/2015,"England Premier League",1.6376,1.1324,0.5052
2015/2016,"England Premier League",1.6593,1.2637,0.3956
2008/2009,"France Ligue 1",1.4664,1.0187,0.4478
2009/2010,"France Ligue 1",1.5795,1.0848,0.4947
2010/2011,"France Ligue 1",1.6000,1.0800,0.5200
2011/2012,"France Ligue 1",1.6691,1.0662,0.6029
2012/2013,"France Ligue 1",1.6618,1.1140,0.5478
2013/2014,"France Ligue 1",1.6029,1.0772,0.5257
2014/2015,"France Ligue 1",1.5993,1.1712,0.4281
2015/2016,"France Ligue 1",1.6507,1.1654,0.4853
2008/2009,"Germany 1. Bundesliga",1.8491,1.2198,0.6293
2009/2010,"Germany 1. Bundesliga",1.7227,1.4500,0.2727
2010/2011,"Germany 1. Bundesliga",1.8025,1.3333,0.4691
2011/2012,"Germany 1. Bundesliga",1.8722,1.2511,0.6211
2012/2013,"Germany 1. Bundesliga",1.7719,1.4386,0.3333
2013/2014,"Germany 1. Bundesliga",1.8719,1.4463,0.4256
2014/2015,"Germany 1. Bundesliga",1.7857,1.2098,0.5759
2015/2016,"Germany 1. Bundesliga",1.7489,1.3574,0.3915
2008/2009,"Italy Serie A",1.6351,1.0456,0.5895
2009/2010,"Italy Serie A",1.7590,1.1115,0.6475
2010/2011,"Italy Serie A",1.6113,1.1413,0.4700
2011/2012,"Italy Serie A",1.7315,1.1206,0.6109
2012/2013,"Italy Serie A",1.7148,1.2465,0.4683
2013/2014,"Italy Serie A",1.6483,1.1897,0.4586
2014/2015,"Italy Serie A",1.6988,1.2432,0.4556
2015/2016,"Italy Serie A",1.6491,1.1614,0.4877
2008/2009,"Spain LIGA BBVA",1.8047,1.2626,0.5421
2009/2010,"Spain LIGA BBVA",1.8351,1.1860,0.6491
2010/2011,"Spain LIGA BBVA",1.8306,1.1595,0.6711
2011/2012,"Spain LIGA BBVA",1.9476,1.1573,0.7902
2012/2013,"Spain LIGA BBVA",1.8784,1.2331,0.6453
2013/2014,"Spain LIGA BBVA",1.8435,1.1803,0.6633
2014/2015,"Spain LIGA BBVA",1.7439,1.1938,0.5502
2015/2016,"Spain LIGA BBVA",1.8160,1.1667,0.6493
