Year,Number_of_Games,League
2008,65,"Belgium Jupiler League"
2009,232,"Belgium Jupiler League"
2010,172,"Belgium Jupiler League"
2011,162,"Belgium Jupiler League"
2012,201,"Belgium Jupiler League"
2013,49,"Belgium Jupiler League"
2014,134,"Belgium Jupiler League"
2015,183,"Belgium Jupiler League"
2016,54,"Belgium Jupiler League"
2008,148,"England Premier League"
2009,284,"England Premier League"
2010,265,"England Premier League"
2011,276,"England Premier League"
2012,290,"England Premier League"
2013,277,"England Premier League"
2014,295,"England Premier League"
2015,285,"England Premier League"
2016,137,"England Premier League"
2008,131,"France Ligue 1"
2009,285,"France Ligue 1"
2010,255,"France Ligue 1"
2011,259,"France Ligue 1"
2012,277,"France Ligue 1"
2013,273,"France Ligue 1"
2014,284,"France Ligue 1"
2015,275,"France Ligue 1"
2016,142,"France Ligue 1"
2008,115,"Germany 1. Bundesliga"
2009,223,"Germany 1. Bundesliga"
2010,237,"Germany 1. Bundesliga"
2011,234,"Germany 1. Bundesliga"
2012,228,"Germany 1. Bundesliga"
2013,230,"Germany 1. Bundesliga"
2014,235,"Germany 1. Bundesliga"
2015,234,"Germany 1. Bundesliga"
2016,115,"Germany 1. Bundesliga"
2008,133,"Italy Serie A"
2009,278,"Italy Serie A"
2010,274,"Italy Serie A"
2011,273,"Italy Serie A"
2012,285,"Italy Serie A"
2013,267,"Italy Serie A"
2014,273,"Italy Serie A"
2015,285,"Italy Serie A"
2016,153,"Italy Serie A"
2008,2,"Netherlands Eredivisie"
2009,189,"Netherlands Eredivisie"
2010,245,"Netherlands Eredivisie"
2011,226,"Netherlands Eredivisie"
2012,237,"Netherlands Eredivisie"
2013,237,"Netherlands Eredivisie"
2014,216,"Netherlands Eredivisie"
2015,231,"Netherlands Eredivisie"
2016,120,"Netherlands Eredivisie"
2013,119,"Poland Ekstraklasa"
2014,162,"Poland Ekstraklasa"
2015,178,"Poland Ekstraklasa"
2016,48,"Poland Ekstraklasa"
2008,19,"Portugal Liga ZON Sagres"
2009,157,"Portugal Liga ZON Sagres"
2010,176,"Portugal Liga ZON Sagres"
2011,171,"Portugal Liga ZON Sagres"
2012,171,"Portugal Liga ZON Sagres"
2013,203,"Portugal Liga ZON Sagres"
2014,186,"Portugal Liga ZON Sagres"
2015,222,"Portugal Liga ZON Sagres"
2016,137,"Portugal Liga ZON Sagres"
2008,98,"Scotland Premier League"
2009,142,"Scotland Premier League"
2010,178,"Scotland Premier League"
2011,186,"Scotland Premier League"
2012,164,"Scotland Premier League"
2013,160,"Scotland Premier League"
2014,180,"Scotland Premier League"
2015,184,"Scotland Premier League"
2016,85,"Scotland Premier League"
2008,124,"Spain LIGA BBVA"
2009,287,"Spain LIGA BBVA"
2010,299,"Spain LIGA BBVA"
2011,291,"Spain LIGA BBVA"
2012,306,"Spain LIGA BBVA"
2013,294,"Spain LIGA BBVA"
2014,276,"Spain LIGA BBVA"
2015,298,"Spain LIGA BBVA"
2016,161,"Spain LIGA BBVA"
2009,131,"Switzerland Super League"
2010,141,"Switzerland Super League"
2011,140,"Switzerland Super League"
2012,115,"Switzerland Super League"
2013,136,"Switzerland Super League"
2014,140,"Switzerland Super League"
2015,132,"Switzerland Super League"
2016,67,"Switzerland Super League"
